SMILES,Activity binary
C=C(C)C(=O)NCCCN(C)C,1
Clc1ccc(C(Cl)(Cl)Cl)cc1,1
CC12CCC3c4ccc(O)cc4CCC3C1CCC2=O,0
Oc1ccc(C2COc3cc(O)ccc3C2)cc1,0
c1ccc2c(c1)-c1nc-2nc2[nH]c(nc3nc(nc4[nH]c(n1)c1ccccc41)-c1ccccc1-3)c1ccccc21,0
COc1cc(N)c2nccc(C)c2c1,0
O=CCC(=O)CCCCCCCCCCCCCCCCCc1ccccc1,0
CC(=O)CC(N)=O,0
COC(=O)C(C)=O,1
CC=CC(=O)Oc1c(C(C)CCCCCC)cc([N+](=O)[O-])cc1[N+](=O)[O-],1
NC(CC(=O)O)C(=O)O,0
COC(=O)c1ccc(C(=O)Nc2cc(Cl)ccc2Cl)cc1N=Nc1c(O)c(C(=O)Nc2ccccc2OC)cc2ccccc12,0
OCc1cccnc1,1
CNCC(O)C(O)C(O)C(O)CO,0
Nc1ccc(S(N)(=O)=O)cc1,0
CCOC(=O)c1[nH]n(-c2ccccc2)c(=O)c1N=Nc1ccc(-c2ccc(N=Nc3c(C(=O)OCC)[nH]n(-c4ccccc4)c3=O)c(Cl)c2)cc1Cl,0
CC(=O)O,0
CCOS(=O)(=O)OCC,1
OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0
C=CC(=O)OCC1(CC)COCOC1,1
Cc1ccc(N=c2[nH]c(Nc3ccc(C)cc3)c(C#N)c(C)c2N=Nc2ccccc2C(F)(F)F)cc1,0
COc1ccc(C(=O)Nc2ccccc2)cc1N=Nc1c(O)c(C(=O)Nc2cc(Cl)ccc2OC)cc2ccccc12,0
C=C(C)C(=O)OCC(CC)CCCC,0
Cc1ccc(CC=O)cc1C,1
ClCCCI,0
O=[N+]([O-])c1ccc(F)c([N+](=O)[O-])c1,1
Cc1ccc(C(=O)Nc2ccc(S(=O)(=O)O)cc2)cc1N,0
CCS(=O)(=O)c1cc(C(=O)O)c(OC)cc1N,0
CC(C)C(N)C(=O)O,0
